tempoInicio,tempoDigitando,user,codExperimento,peticao,horarioRecebido
00:01:48,00:01:36,49,0.0,Esse é o meu teste para o experimento do AILA. ,"06/11/2023, 18:28:45"
00:00:18,00:00:11,50,1.0,Esse é mais um texto do experimento. ,"06/11/2023, 18:33:28"
00:01:00,00:00:48,51,0.0,Esse é mais um teste do AILA. Está contando as palavras corretamente.,"06/11/2023, 18:37:34"
00:01:38,00:00:19,52,1.0,Esse é o último teste sem o plugin. Ele está contando bem as palavras.,"06/11/2023, 18:39:20"
00:00:40,00:00:25,1662,1.0,"Sumula 128 STJ

","06/11/2023, 20:49:11"
00:18:30,00:09:53,1662,1.0,"Do Direito- 


I-Ausência de Consumação do Crime:
   Argumentamos que não houve a consumação do crime de furto, conforme descrito no Art.155 do Código Penal, no qual os réus foram flagrados tentando romper a placa de aço de um caixa eletrônico, porém, de acordo com o ofício do Banco Peixe, a estrutura do caixa eletrônico é imune à ação mecânica por força humana. Portanto, não houve a efetiva subtração de valores ou bens da agência bancária, elemento essencial para caracterizar o furto.


II-Tentativa Inidônea:
   Sustentamos que a tentativa de furto deve ser considerada inidônea, uma vez que os réus, ao utilizarem um serrote, uma chave de fenda e um alicate, não tinham conhecimento prévio da inviabilidade de sua ação sobre o caixa eletrônico. A tentativa inidônea não configura crime, uma vez que a impossibilidade de consumação era absoluta, de acordo com as informações fornecidas pelo Banco Peixe.


III- Princípio da Legalidade e da Tipicidade:
   Argumentamos que a imputação dos réus com base no Art. 155, § 4°, incisos I e IV, do Código Penal não é adequada, uma vez que os elementos do tipo penal não foram preenchidos. O princípio da legalidade e da tipicidade exige que a conduta seja expressamente prevista em lei, o que não se verifica no presente caso, considerando a impossibilidade de consumar o furto de acordo com as circunstâncias.


IV-Inexistência de Prova da Intenção de Furto:
   Ressaltamos que, mesmo que se admitisse a tentativa de furto, não há provas de que os réus realmente tinham a intenção de subtrair valores dos caixas eletrônicos. A presença de equipamentos como serrote, chave de fenda e alicate pode ser interpretada de diversas maneiras, e não é suficiente para comprovar a intenção criminosa dos acusados.","06/11/2023, 21:15:52"
00:21:59,00:18:34,1662,1.0,"Memoriais
Art. 155 do CP § 4°
Art. 14 do cp




","06/11/2023, 21:17:19"
00:30:18,00:25:13,1662,1.0,"III. DO DIREITO


a. Ausência de Consumação do Crime:
   É explicíto que não houve a consumação do crime de furto, conforme descrito no Artigo 155 do Código Penal. Os réus foram flagrados tentando romper a placa de aço de um caixa eletrônico, porém, de acordo com a declaração do Banco Peixe por meio de ofício, a estrutura do caixa eletrônico é imune à ação mecânica por força humana. Devendo a tentativa, então, ser considerada inidônea.


b. Princípio da Legalidade e da Tipicidade:
   Argumento que a imputação dos réus com base no Art. 155, § 4°, incisos I e IV, do Código Penal não é adequada, uma vez que os elementos do tipo penal não foram preenchidos. O princípio da legalidade e da tipicidade exige que a conduta seja expressamente prevista em lei, o que não se verifica no presente caso, considerando a impossibilidade de consumar o furto de acordo com as circunstâncias.


c. Inexistência de Prova da Intenção de Furto:
  Ressalto que, mesmo que se admitisse a tentativa de furto, não há provas de que os réus realmente tinham a intenção de subtrair valores dos caixas eletrônicos. A presença de equipamentos como serrote, chave de fenda e alicate pode ser interpretada de diversas maneiras, e não é suficiente para comprovar a intenção criminosa dos acusados.


  Assim, com base nos argumentos acima expostos, solicito a absolvição dos réus Ricardo e Roberto, uma vez que não houve consumação do crime de furto, e a tentativa não pode ser considerada idônea. Além disso, a falta de provas da efetiva intenção criminosa dos acusados torna a denúncia infundada.

","06/11/2023, 21:26:28"
00:31:15,00:27:17,1662,1.0,"DO DIREITO


Trata-se de ação de pedido de liberdade provisória ou pedido de concessão de fiança.


O requerente foi preso em flagrante acusado de ter praticado o delito de furto, com a presença de mais uma pessoa, no qual está previsto no art. 155, inciso 4º do Código Penal.


Todavia, nos termos do art. 312 do Código Processual Penal, a prisão preventiva poderá ser decretada como garantia a ordem pública, da ordem econômica, por conveniência da instrução criminal ou para assegurar a aplicação da lei penal, quando houver prova da existência do crime e indício suficiente de autoria e de perigo gerado pelo estado de liberdade do emputado. 


Logo, no caso, considerando que o acusado Ricardo é reicidente ao crime de furto de caixa eletrônico, é possível a conversão de prisão em flagrante em prisão preventiva, já que está presente nas hipóteses do art. 312 do Código Processual Penal. Porém, Roberto obteve liberdade provisória na audiência de custódia, realizada no dia seguinte da audiência de custódia 


Na hipótese de não ser concedida a liberdade plena, cabe, no caso, a concessão de fiança ao requerente, uma vez que o delito pelo qual está sendo acusado não se enquadra nas hipóteses de inafiançabilidade previstas nos arts. 323 e 324, ambos do Código Processual Penal. 



","06/11/2023, 21:26:33"
00:31:12,00:26:57,1662,1.0,"DO DIREITO

A prisão em flagrante possui requesitos que, quando não analisados pode caracterizá-lo como ilegal.

No caso, houve ausência de Consumação do Crime, não havendo consumação do crime de furto, conforme descrito no Art. 155 do Código Penal. 
Os réus foram flagrados tentando romper a placa de aço de um caixa eletrônico, no entando de acordo com o ofício do Banco Peixe, a estrutura é imune a ação mecânica por força humana. 


Ressalta-se que a imputação dos réus com base no art. 155, § 4º, I e IV do Código Penal, não é adequada uma vez que os elementos do tipo penal não foram preenchidos. O princípio da legalidade e da tipicidade exige que a conduta seja expressamente prevista em lei, o que não se verifica no presente caso, considerando a impossibilidade de consumar o furto de acordo com as circunstâncias. 


Vale ressaltar a ausência de provas, visto que mesmo que se configurasse furto, não há provas de que os réus realmente tinham intenção de subtrair, conforme art. 386, VI do Código de Processo Penal. 






","06/11/2023, 21:26:34"
