tempoInicio,tempoDigitando,user,codExperimento,peticao,horarioRecebido
00:01:48,00:01:36,49,0,Esse é o meu teste para o experimento do AILA. ,"06/11/2023, 18:28:45"
00:00:18,00:00:11,50,1,Esse é mais um texto do experimento. ,"06/11/2023, 18:33:28"
00:01:00,00:00:48,51,0,Esse é mais um teste do AILA. Está contando as palavras corretamente.,"06/11/2023, 18:37:34"
00:01:38,00:00:19,52,1,Esse é o último teste sem o plugin. Ele está contando bem as palavras.,"06/11/2023, 18:39:20"
00:00:40,00:00:25,1662,1,"Sumula 128 STJ

","06/11/2023, 20:49:11"
00:18:30,00:09:53,1662,1,"Do Direito- 


I-Ausência de Consumação do Crime:
   Argumentamos que não houve a consumação do crime de furto, conforme descrito no Art.155 do Código Penal, no qual os réus foram flagrados tentando romper a placa de aço de um caixa eletrônico, porém, de acordo com o ofício do Banco Peixe, a estrutura do caixa eletrônico é imune à ação mecânica por força humana. Portanto, não houve a efetiva subtração de valores ou bens da agência bancária, elemento essencial para caracterizar o furto.


II-Tentativa Inidônea:
   Sustentamos que a tentativa de furto deve ser considerada inidônea, uma vez que os réus, ao utilizarem um serrote, uma chave de fenda e um alicate, não tinham conhecimento prévio da inviabilidade de sua ação sobre o caixa eletrônico. A tentativa inidônea não configura crime, uma vez que a impossibilidade de consumação era absoluta, de acordo com as informações fornecidas pelo Banco Peixe.


III- Princípio da Legalidade e da Tipicidade:
   Argumentamos que a imputação dos réus com base no Art. 155, § 4°, incisos I e IV, do Código Penal não é adequada, uma vez que os elementos do tipo penal não foram preenchidos. O princípio da legalidade e da tipicidade exige que a conduta seja expressamente prevista em lei, o que não se verifica no presente caso, considerando a impossibilidade de consumar o furto de acordo com as circunstâncias.


IV-Inexistência de Prova da Intenção de Furto:
   Ressaltamos que, mesmo que se admitisse a tentativa de furto, não há provas de que os réus realmente tinham a intenção de subtrair valores dos caixas eletrônicos. A presença de equipamentos como serrote, chave de fenda e alicate pode ser interpretada de diversas maneiras, e não é suficiente para comprovar a intenção criminosa dos acusados.","06/11/2023, 21:15:52"
00:21:59,00:18:34,1662,1,"Memoriais
Art. 155 do CP § 4°
Art. 14 do cp




","06/11/2023, 21:17:19"
00:30:18,00:25:13,1662,1,"III. DO DIREITO


a. Ausência de Consumação do Crime:
   É explicíto que não houve a consumação do crime de furto, conforme descrito no Artigo 155 do Código Penal. Os réus foram flagrados tentando romper a placa de aço de um caixa eletrônico, porém, de acordo com a declaração do Banco Peixe por meio de ofício, a estrutura do caixa eletrônico é imune à ação mecânica por força humana. Devendo a tentativa, então, ser considerada inidônea.


b. Princípio da Legalidade e da Tipicidade:
   Argumento que a imputação dos réus com base no Art. 155, § 4°, incisos I e IV, do Código Penal não é adequada, uma vez que os elementos do tipo penal não foram preenchidos. O princípio da legalidade e da tipicidade exige que a conduta seja expressamente prevista em lei, o que não se verifica no presente caso, considerando a impossibilidade de consumar o furto de acordo com as circunstâncias.


c. Inexistência de Prova da Intenção de Furto:
  Ressalto que, mesmo que se admitisse a tentativa de furto, não há provas de que os réus realmente tinham a intenção de subtrair valores dos caixas eletrônicos. A presença de equipamentos como serrote, chave de fenda e alicate pode ser interpretada de diversas maneiras, e não é suficiente para comprovar a intenção criminosa dos acusados.


  Assim, com base nos argumentos acima expostos, solicito a absolvição dos réus Ricardo e Roberto, uma vez que não houve consumação do crime de furto, e a tentativa não pode ser considerada idônea. Além disso, a falta de provas da efetiva intenção criminosa dos acusados torna a denúncia infundada.

","06/11/2023, 21:26:28"
00:31:15,00:27:17,1662,1,"DO DIREITO


Trata-se de ação de pedido de liberdade provisória ou pedido de concessão de fiança.


O requerente foi preso em flagrante acusado de ter praticado o delito de furto, com a presença de mais uma pessoa, no qual está previsto no art. 155, inciso 4º do Código Penal.


Todavia, nos termos do art. 312 do Código Processual Penal, a prisão preventiva poderá ser decretada como garantia a ordem pública, da ordem econômica, por conveniência da instrução criminal ou para assegurar a aplicação da lei penal, quando houver prova da existência do crime e indício suficiente de autoria e de perigo gerado pelo estado de liberdade do emputado. 


Logo, no caso, considerando que o acusado Ricardo é reicidente ao crime de furto de caixa eletrônico, é possível a conversão de prisão em flagrante em prisão preventiva, já que está presente nas hipóteses do art. 312 do Código Processual Penal. Porém, Roberto obteve liberdade provisória na audiência de custódia, realizada no dia seguinte da audiência de custódia 


Na hipótese de não ser concedida a liberdade plena, cabe, no caso, a concessão de fiança ao requerente, uma vez que o delito pelo qual está sendo acusado não se enquadra nas hipóteses de inafiançabilidade previstas nos arts. 323 e 324, ambos do Código Processual Penal. 



","06/11/2023, 21:26:33"
00:31:12,00:26:57,1662,1,"DO DIREITO

A prisão em flagrante possui requesitos que, quando não analisados pode caracterizá-lo como ilegal.

No caso, houve ausência de Consumação do Crime, não havendo consumação do crime de furto, conforme descrito no Art. 155 do Código Penal. 
Os réus foram flagrados tentando romper a placa de aço de um caixa eletrônico, no entando de acordo com o ofício do Banco Peixe, a estrutura é imune a ação mecânica por força humana. 


Ressalta-se que a imputação dos réus com base no art. 155, § 4º, I e IV do Código Penal, não é adequada uma vez que os elementos do tipo penal não foram preenchidos. O princípio da legalidade e da tipicidade exige que a conduta seja expressamente prevista em lei, o que não se verifica no presente caso, considerando a impossibilidade de consumar o furto de acordo com as circunstâncias. 


Vale ressaltar a ausência de provas, visto que mesmo que se configurasse furto, não há provas de que os réus realmente tinham intenção de subtrair, conforme art. 386, VI do Código de Processo Penal. 






","06/11/2023, 21:26:34"
00:22:15,00:18:47,1662,1,"DO MÉRITO


Trata-se de MEMORIAIS, com fundamento no Art. 403 §3º do CPP


No dia 10/08/2020 Roberto e Ricardo foram presos em flagrante às 19 horas, sendo em seguida denunciados pelo crime Art. 155, §4º, incisos I e IV,  do CP e do Art. 14, II do CP.  
Diante dos fatos apresentados e investigados, a suposta tentativa do crime praticado pelos réus, nem poderia se concretizar, visto que, um ofício enviado pelo próprio banco, diz que a estrutura dos caixas eletrônicos são imunes a ação mecãnica do homem. Desse modo seria impossível a consumação do crime, assim como dispõe o Art. 17 do CP
   
Art. 17 - Não se pune a tentativa quando, por ineficácia absoluta do meio ou por absoluta impropriedade do objeto, é impossível consumar-se o crime.

A natureza jurídica do crime impossível é a exclusão da tipicidade, desta forma o fato praticado por Ricardo e Rafael deixa de ser típico. 


","06/11/2023, 21:27:07"
00:19:59,00:19:23,1662,1,"Do Direito.
Considerando os réus Ricardo e Roberto pela prática de tentitva de furto qualificado com fulcro no Art. 155§4, inc. I e IV do CP.
EX. dr juiz de direito da 5º vara criminal da comarca de Bernabeu, esta defesa suplica por medida adversa da prisão pelos seguintes fatos:
O réu Ricardo, apesar de ter já praticado crime de furto (art. 155 CP) não apenas cumpriu sua pena como o processo já foi extinto, incompatibilizando com a convenção em prisão temporária, pois o réu não trás se quer, no contexto atual, os periculo in mora constado no art. 319 CPP, pois já, teve sua pena cumprida e extinta. Por tanto pede-se a liberdade provisória do apenado.
Enquanto ao réu Roberto, este inclui-se como réu primário, não tendo nenhuma circunstância agravante que cause o mesmo perigo que consta no art. 319 CPP. Portanto, suplica-se pela liberdade provisória ou o deferimento do HC já impretado em seu favor.
Pede-se e espera deferimento.

","06/11/2023, 21:27:19"
00:32:11,00:29:46,1662,1,"Memoriais 


Do Direito


O crime que os réus deste processo respondem trata-se de um CRIME IMPOSSÌVEL, tendo em vista que com um serrote e uma chave de fenda os acusados jamais conseguiriam transpor a estrutura de aço do caixa eletrônico. O Art. 17 do Código Penal fala sobre a impossibilidade do ato ilícito. Os reús utilizaram de meio ineficaz o que tornou impossível a consumação do crime. 


Art. 17 - Não se pune a tentativa quando, por ineficácia absoluta do meio ou por absoluta impropriedade do objeto, é impossível consumar-se o crime. (Redação dada pela Lei no 7.209, de 11.7.1984).

Desta forma, pela atipicidade da conduta, os reús precisam ser absolvidos.

De forma subsidiária, é necessário que seja considerada também o afastamento da qualificadora de rompimento de obstáculo, uma vez que de acordo com o Art. 158 do CPP, pois a incidência depende de perícia, que deveria ter sido requerida pela acusação. 

Art. 158. Quando a infração deixar vestígios, será indispensável o exame de corpo de delito, direto ou indireto, não podendo supri-lo a confissão do acusado. 

Também é importante se levar em conta, em caso de condenação, a confissão espotânea dos reús e o tempo que eles passaram presos para detração penal. 

Por último, que seja fixado o mínimo legal de pena, Art 33 do CP.","06/11/2023, 21:27:29"
00:31:44,00:27:16,1662,1,"AO JUÍZO DA 05ª VARA CRIMINAL DA COMARCA DE BARBABEU-CN. 


 I - QUALIFICAÇÃO. 


II - SINOPSE FÁTICA. 


III - DO MÉRITO.  
III.1 -  APLICAÇÃO DO PRINCÍPIO DA INSIGNIFICÂNCIA.

O princípio decorre do entendimento de que o direito penal não deve se preocupar com condutas em que o resultado não é suficientemente grave a ponto de não haver necessidade de punir o agente nem de se recorrer aos meios judiciais, por exemplo, no caso de um furto de pequeno valor ou da tentativa deste, como é o caso em questão.

Conforme exposto, torna-se possível a aplicação do princípio da insignificância no caso em tela, pois em nenhum momento houve a consumação do crime disposto no art. 155 § 4º, incisos I e IV do CP,  senão, vejamos o entendimento já consolidado do Emérito STJ: 

AgRg no HABEAS CORPUS Nº 258.962 - MG (2012/0236435-0) RELATOR : MINISTRO JORGE MUSSI AGRAVANTE : LEONARDO PEREIRA CANEDO DE OLIVEIRO (PRESO) ADVOGADO : DEFENSORIA PÚBLICA DA UNIÃO AGRAVADO : TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS EMENTA AGRAVO REGIMENTAL NO HABEAS CORPUS. FURTO TENTADO. PRINCÍPIO DA INSIGNIFICÂNCIA. APLICAÇÃO. IMPOSSIBILIDADE. REITERAÇÃO DELITIVA. MULTIREINCIDÊNCIA. AUSÊNCIA DE REDUZIDO GRAU DE REPROVABILIDADE DO COMPORTAMENTO. AGRAVO IMPROVIDO. 1. A aplicação do princípio da insignificância reflete o entendimento de que o Direito Penal deve intervir somente nos casos em que a conduta ocasionar lesão jurídica de certa gravidade, devendo ser reconhecida a atipicidade material de perturbações jurídicas mínimas ou leves, estas consideradas não só no seu sentido econômico, mas também em função do grau de afetação da ordem social que ocasionem. 2. Segundo a jurisprudência do Supremo Tribunal Federal, o princípio da insignificância tem como vetores a mínima ofensividade da conduta, a nenhuma periculosidade social da ação, o reduzido grau de reprovabilidade do comportamento e a inexpressividade da lesão jurídica provocada. 3. Inviável a incidência do referido brocardo, in casu, porquanto o paciente é multireincidente, situação apta a ensejar a incidência do Direito Penal como forma de coibir a reiteração delitiva (precedentes). 4. Agravo regimental improvido. ACÓRDÃO Vistos, relatados e discutidos estes autos, acordam os Ministros da Quinta Turma do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, negar provimento ao agravo regimental. Os Srs. Ministros Gurgel de Faria, Newton Trisotto (Desembargador convocado do TJ/SC), Walter de Almeida Guilherme (Desembargador convocado do TJ/SP) e Felix Fischer votaram com o Sr. Ministro Relator. Brasília (DF), 18 de novembro de 2014(Data do Julgamento) MINISTRO JORGE MUSSI Relator.

AgRg no AgRg no RECURSO ESPECIAL Nº 1.705.182 - RJ (2017/0269640-8) RELATOR : MINISTRO JORGE MUSSI AGRAVANTE : MINISTÉRIO PÚBLICO DO ESTADO DO RIO DE JANEIRO AGRAVADO : IVAIR DE ALMEIDA ALEXANDRE ADVOGADO : DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO EMENTA RECURSO ESPECIAL. FURTO SIMPLES. TENTATIVA. PRINCÍPIO DA INSIGNIFICÂNCIA. APLICABILIDADE. RÉU TECNICAMENTE PRIMÁRIO. EXCEPCIONALIDADE ADMITIDA. VALOR IRRISÓRIO DA COISA FURTADA. CIRCUNSTÂNCIAS DO CASO CONCRETO. 1. O princípio da insignificância jamais pode surgir como elemento gerador de impunidade, mormente em se tratando de crime contra o patrimônio, pouco importando se o valor da res furtiva seja de pequena monta, até porque não se pode confundir bem de pequeno valor com o de valor insignificante ou irrisório, já que para aquela primeira situação existe o privilégio insculpido no § 2º do artigo 155 do Código Penal. 2. Para a verificação da lesividade mínima da conduta, apta a torná-la atípica, deve-se levar em consideração a mínima ofensividade da conduta do agente; a ausência de periculosidade social da ação; o reduzido grau de reprovabilidade do comportamento; e a inexpressividade da lesão jurídica provocada. 3. A aplicação do princípio da insignificância demanda o exame do preenchimento de certos requisitos objetivos e subjetivos, traduzidos no reduzido valor do bem tutelado e na favorabilidade das circunstâncias em que foi cometido o fato criminoso e de suas consequências jurídicas e sociais. 4. Caso em que se verifica se tratar de situação que atrai a incidência excepcional do princípio da insignificância, consideradas a primariedade do réu e as circunstâncias em que o delito ocorreu (tentativa de furto simples de tubos de desodorante contra estabelecimento comercial), o valor reduzido da res furtiva e a natureza do bem subtraído. 5. Agravo regimental desprovido. ACÓRDÃO Vistos, relatados e discutidos estes autos, acordam os Ministros da Quinta Turma do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, negar provimento ao agravo regimental. Os Srs. Ministros Ribeiro Dantas, Joel Ilan Paciornik e Felix Fischer votaram com o Sr. Ministro Relator. Ausente, justificadamente, o Sr. Ministro Reynaldo Soares da Fonseca. Brasília (DF), 28 de maio de 2019(Data do Julgamento) MINISTRO JORGE MUSSI Relator}.
","06/11/2023, 21:27:30"
00:00:14,00:00:00,1662,1,,"06/11/2023, 21:28:06"
00:00:05,00:00:01,1662,1,xxx,"06/11/2023, 21:28:32"
00:00:15,00:00:05,1662,1,art 6,"06/11/2023, 21:28:58"
00:08:45,00:08:41,1662,1,"Art. 302, I, II, III, IV do CPP 
Art. 311 CPP
Art. 17, II, CP  
Art. 14 CP 
Art. 155 CP","06/11/2023, 21:29:39"
00:31:48,00:29:58,1662,1,"DO MÉRITO:

Conforme os fatos expostos, fica claro e evidente que o autor não coneguiria de forma alguam furtar um cofre bancario que possi alto nivel de segurança com e somente um serrote, chave de fenda e alicate.Ora , por obvio fica claro que deverá ser aplicado o principio da insignificancia, como demostrado na jurisprudencia Art. 14 do CP



""AgRg no HABEAS CORPUS Nº 258.962 - MG (2012/0236435-0) RELATOR : MINISTRO JORGE MUSSI AGRAVANTE : LEONARDO PEREIRA CANEDO DE OLIVEIRO (PRESO) ADVOGADO : DEFENSORIA PÚBLICA DA UNIÃO AGRAVADO : TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS EMENTA AGRAVO REGIMENTAL NO HABEAS CORPUS. FURTO TENTADO. PRINCÍPIO DA INSIGNIFICÂNCIA. APLICAÇÃO. IMPOSSIBILIDADE. REITERAÇÃO DELITIVA. MULTIREINCIDÊNCIA. AUSÊNCIA DE REDUZIDO GRAU DE REPROVABILIDADE DO COMPORTAMENTO. AGRAVO IMPROVIDO. 1. A aplicação do princípio da insignificância reflete o entendimento de que o Direito Penal deve intervir somente nos casos em que a conduta ocasionar lesão jurídica de certa gravidade, devendo ser reconhecida a atipicidade material de perturbações jurídicas mínimas ou leves, estas consideradas não só no seu sentido econômico, mas também em função do grau de afetação da ordem social que ocasionem. 2. Segundo a jurisprudência do Supremo Tribunal Federal, o princípio da insignificância tem como vetores a mínima ofensividade da conduta, a nenhuma periculosidade social da ação, o reduzido grau de reprovabilidade do comportamento e a inexpressividade da lesão jurídica provocada. 3. Inviável a incidência do referido brocardo, in casu, porquanto o paciente é multireincidente, situação apta a ensejar a incidência do Direito Penal como forma de coibir a reiteração delitiva (precedentes). 4. Agravo regimental improvido. ACÓRDÃO Vistos, relatados e discutidos estes autos, acordam os Ministros da Quinta Turma do Superior Tribunal de Justiça, na conformidade dos votos e das notas taquigráficas a seguir, por unanimidade, negar provimento ao agravo regimental. Os Srs. Ministros Gurgel de Faria, Newton Trisotto (Desembargador convocado do TJ/SC), Walter de Almeida Guilherme (Desembargador convocado do TJ/SP) e Felix Fischer votaram com o Sr. Ministro Relator. Brasília (DF), 18 de novembro de 2014(Data do Julgamento) MINISTRO JORGE MUSSI Relator""
Copiar T","06/11/2023, 21:29:58"
00:33:16,00:30:58,1662,1,"
DO DIREITO 



A)  DA REVOGAÇÃO DA PRISÃO PREVENTIVA, SEM A IMPOSIÇÃO DE MEDIDAS RESTRITIVAS DA LIBERDADE SUBSTITU TIVA AO CÁRCERE.


Por exigência constitucional Art. 5° da Constituição Federal (Art. 5° LXI e artigo 93, IX, da Constituição Federal de 1988, artigo 310, caput e artigo 315, do Código de Processo Penal) a segregação cautelar, em razão de sua excepcionalidade, deve ser devidamente fundamentada, nas palavras do Supremo Tribunal Federal, ""com base em elementos concretos e individualizados aptos a demonstrar a necessidade da prisão do indivíduo"" (HC 113.119, 12 t.. Rel. Min. DIAS TOFF, Dje 04/12/2012).

Essa motivação deve dizer respeito, como se sabe, não só a presença dos indícios de autoria e prova da materialidade do delito ( última pArt. 312 do Código de Processo Penal), como, também, á subsunção dos fatos alheios ao tipo penal (*Ante o princípio da não culpa-bilidade, a simples imputação não respalda a prisão preventiva"" (STF, HC 108.249, 1a T., Rel. Min. MARCO AURÉLIO, Dje 12.11.2012), aos autorizadores da prisão (periculum libertatis - primeira parte do Art. 312, Código de Processo Penal: garantia da ordem pública, da ordem econômica, conveniência da instrução criminal ou assegurar a aplicação da lei penal).

Como se verá a seguir, não há na decisão atacada a imprescindível demonstração concreta da existência dos requisitos que autorizam a prisãom e condeanção, razão pela qual ela deve ser imediatamente revogada.
""O RISCO DE VOLTAR A DELINOUIR"" E A ORDEM PÚBLICA é inexistente, pois trata-se de um caso isolado no comportamento dos réus. Sendo assim, podendo responder em liberdade conforme o artigo 650 do código de processo penal.


","06/11/2023, 21:30:13"
00:00:10,00:00:01,1662,1,afsdf,"06/11/2023, 21:31:17"
